HOG	n_species_present	n_max	n_min	total_genes	differential	exclusion_reason	excluded
N0.HOG0009274	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009278	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009279	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009281	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009284	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009300	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009301	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009305	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009312	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009313	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009314	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009339	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009340	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009341	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009342	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009343	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009344	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009345	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009347	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009355	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009376	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009381	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009383	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009386	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009390	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009392	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009402	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009409	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009425	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009437	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009438	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009439	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009443	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009446	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009447	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009448	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009471	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009482	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009488	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009489	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009490	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009491	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009493	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009500	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009510	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009511	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009512	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009513	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009514	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009515	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009516	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009517	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009518	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009519	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009521	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009539	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009541	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009545	0	0	0	0	0	empty_after_subset	TRUE
