gene_dmel,symbol_dmel,description_dmel,genetype_dmel,highest_tissue_Female,highest_tissue_Larva,highest_tissue_Male,top_log2_enrich_Female,top_log2_enrich_Larva,top_log2_enrich_Male,tau_Female,tau_Larva,tau_Male
FBgn0037181,CG11370,NA,PROTEIN_CODING,Ganglion,Hindgut,Hindgut,1.9999459006265656,-1.092698165864238,2.444771757089641,0.53125,0.7459473150962512,0.7988338192419825
FBgn0037182,ArfGAP3,ADP-ribosylation factor GTPase activating protein 3,PROTEIN_CODING,Salivary Gland,Salivary Gland,Salivary Gland,1.7782426888956626,2.381749201429223,1.5523555387843333,0.632673619341076,0.7619537275064268,0.6237164102765865
FBgn0037183,CG14451,NA,PROTEIN_CODING,Ovary,Fat Body,Brain,0.44056987957001914,1.4474506705968282,-1.1890305846631062,0.618421052631579,0.7666666666666666,0.64
FBgn0037184,CG14450,NA,PROTEIN_CODING,Ganglion,Fat Body,Ganglion,0.7001215397965151,0.8130159720441956,1.1520027995628057,0.3899911816578483,0.40731070496083555,0.4226190476190476
FBgn0037185,CG11367,NA,PROTEIN_CODING,Hindgut,Salivary Gland,Hindgut,1.3540520071070747,2.3515107442346475,1.0639115015882352,0.6560880829015544,0.8413348946135831,0.559047619047619
FBgn0037186,CG11241,NA,PROTEIN_CODING,Salivary Gland,Fat Body,Midgut,1.7175433995418112,2.6025985127549687,2.351913056436459,0.6522539776075427,0.8369871456242296,0.6763562386980109
FBgn0037188,CG7369,NA,PROTEIN_CODING,Ovary,Salivary Gland,Brain,0.33633849920021025,0.5205044865850122,0.6076824698778779,0.5314729867482161,0.325065274151436,0.3474025974025974
FBgn0037191,CG14448,NA,PROTEIN_CODING,Brain,Fat Body,Brain,3.491842142583691,-2.164382952863963,-3.749370928606378,0.7814814814814816,0.7068965517241379,0.42683982683982685
FBgn0037195,CG11226,NA,PROTEIN_CODING,Tubule,Midgut,Tubule,2.386413487716864,0.23446493539590268,-1.993894272319908,0.7342896174863388,0.590625,0.765926640926641
FBgn0037197,CG13239,NA,PROTEIN_CODING,Fat Body,Fat Body,Salivary Gland,1.2894971450289683,17.45764539594195,-3.0768076488976,0.8181818181818181,0.7083333333333333,0.5803571428571429
FBgn0037199,EMC4,ER membrane protein complex subunit 4,PROTEIN_CODING,Eye,Fat Body,Eye,0.48033395309835963,0.22313199452682472,0.6117277563553944,0.4603798297314997,0.2597888478884789,0.4390604825254973
FBgn0037200,Nsun6,NOP2/Sun RNA methyltransferase 6,PROTEIN_CODING,Salivary Gland,Salivary Gland,Salivary Gland,1.0135451580868928,1.4839312371392384,1.6138144200070352,0.41471962616822433,0.5880829015544041,0.521923620933522
FBgn0037202,Ssl1,Suppressor of stem-loop mutation,PROTEIN_CODING,Ovary,Salivary Gland,Fat Body,-0.028289030563363213,1.1801199110885152,0.7410808747191522,0.5037128712871287,0.5082159624413145,0.22710622710622705
FBgn0037203,slif,slimfast,PROTEIN_CODING,Midgut,Tubule,Tubule,2.037407658628384,2.9569558179684217,2.6876570673588533,0.8506093421141965,0.8528785679729076,0.8316062884483938
FBgn0037204,CG11131,NA,PROTEIN_CODING,Salivary Gland,Salivary Gland,Fat Body,-0.8300679855176717,-6.624443263271468,-0.9744636649711484,0.7361111111111112,0.75,0.8822055137844611
FBgn0037205,BoYb,Brother of Yb,PROTEIN_CODING,Ovary,Fat Body,Salivary Gland,0.6345443500642584,-0.2895037026889883,-1.0641234946433664,0.946509009009009,0.8888888888888888,0.7792207792207791
