GO	term_name	background_n	foreground_n	expected_n	weight01	weight01_p	fold_enrichment	comparison	set	foreground_total	background_total	foreground_HOGs
GO:0007620	copulation	57	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0002139
GO:0043277	apoptotic cell clearance	57	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0006360	transcription by RNA polymerase I	58	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0009740
GO:0050764	regulation of phagocytosis	57	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0044042	glucan metabolic process	57	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0021536	diencephalon development	58	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:0042476	odontogenesis	57	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:1904888	cranial skeletal system development	58	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:0048859	formation of anatomical boundary	58	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0003957
GO:0099565	chemical synaptic transmission, postsyna...	57	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0006112	energy reserve metabolic process	58	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0003279	cardiac septum development	58	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:1902807	negative regulation of cell cycle G1/S p...	58	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0007319
GO:0005977	glycogen metabolic process	57	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0035214	eye-antennal disc development	57	1	0.37	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0000655
GO:0008306	associative learning	115	2	0.74	1.00000	1	2.7027027027027026	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0006185
GO:1902275	regulation of chromatin organization	174	3	1.12	1.00000	1	2.6785714285714284	L5_to_L2	concordant_all	46	7127	N13.HOG0005994; N13.HOG0007319; N13.HOG0009018
GO:0051294	establishment of spindle orientation	59	1	0.38	1.00000	1	2.6315789473684212	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0003143	embryonic heart tube morphogenesis	59	1	0.38	1.00000	1	2.6315789473684212	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:0008217	regulation of blood pressure	59	1	0.38	1.00000	1	2.6315789473684212	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0007188	adenylate cyclase-modulating G protein-c...	59	1	0.38	1.00000	1	2.6315789473684212	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:2001234	negative regulation of apoptotic signali...	121	2	0.78	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0005994; N13.HOG0009740
GO:0048864	stem cell development	60	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:2000278	regulation of DNA biosynthetic process	61	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0099024	plasma membrane invagination	61	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0045667	regulation of osteoblast differentiation	61	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0017015	regulation of transforming growth factor...	60	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:1990823	response to leukemia inhibitory factor	61	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0000700
GO:0060606	tube closure	60	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:1905809	negative regulation of synapse organizat...	60	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0008366	axon ensheathment	61	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:1903844	regulation of cellular response to trans...	61	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0033135	regulation of peptidyl-serine phosphoryl...	61	1	0.39	1.00000	1	2.564102564102564	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0033044	regulation of chromosome organization	306	5	1.98	1.00000	1	2.525252525252525	L5_to_L2	concordant_all	46	7127	N13.HOG0005994; N13.HOG0006185; N13.HOG0007319; N13.HOG0007677; N13.HOG0009018
GO:0051153	regulation of striated muscle cell diffe...	62	1	0.4	1.00000	1	2.5	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0007272	ensheathment of neurons	62	1	0.4	1.00000	1	2.5	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0014020	primary neural tube formation	62	1	0.4	1.00000	1	2.5	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:1901185	negative regulation of ERBB signaling pa...	62	1	0.4	1.00000	1	2.5	L5_to_L2	concordant_all	46	7127	N13.HOG0003976
GO:0060078	regulation of postsynaptic membrane pote...	62	1	0.4	1.00000	1	2.5	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0019218	regulation of steroid metabolic process	62	1	0.4	1.00000	1	2.5	L5_to_L2	concordant_all	46	7127	N13.HOG0000700
GO:1904659	D-glucose transmembrane transport	62	1	0.4	1.00000	1	2.5	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0043500	muscle adaptation	62	1	0.4	1.00000	1	2.5	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0048863	stem cell differentiation	188	3	1.21	1.00000	1	2.479338842975207	L5_to_L2	concordant_all	46	7127	N13.HOG0000655; N13.HOG0005090; N13.HOG0006185
GO:0003015	heart process	125	2	0.81	1.00000	1	2.4691358024691357	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0008981
GO:0141091	transforming growth factor beta receptor...	189	3	1.22	1.00000	1	2.459016393442623	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0006185; N13.HOG0009018
GO:0002168	instar larval development	64	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:1900542	regulation of purine nucleotide metaboli...	63	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0006277
GO:0000422	autophagy of mitochondrion	63	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:1901889	negative regulation of cell junction ass...	64	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0048704	embryonic skeletal system morphogenesis	63	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:0051261	protein depolymerization	64	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0005377
GO:0098732	macromolecule deacylation	64	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0035601	protein deacylation	63	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0033143	regulation of intracellular steroid horm...	63	1	0.41	1.00000	1	2.4390243902439024	L5_to_L2	concordant_all	46	7127	N13.HOG0009822
GO:0019827	stem cell population maintenance	192	3	1.24	1.00000	1	2.4193548387096775	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0009018; N13.HOG0009740
GO:0090257	regulation of muscle system process	129	2	0.83	1.00000	1	2.4096385542168677	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0006465
GO:0090287	regulation of cellular response to growt...	193	3	1.25	1.00000	1	2.4	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0006185; N13.HOG0009018
GO:0098727	maintenance of cell number	193	3	1.25	1.00000	1	2.4	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0009018; N13.HOG0009740
GO:0072593	reactive oxygen species metabolic proces...	130	2	0.84	1.00000	1	2.380952380952381	L5_to_L2	concordant_all	46	7127	N13.HOG0006465; N13.HOG0011876
GO:0042446	hormone biosynthetic process	65	1	0.42	1.00000	1	2.380952380952381	L5_to_L2	concordant_all	46	7127	N13.HOG0002611
GO:0060972	left/right pattern formation	130	2	0.84	1.00000	1	2.380952380952381	L5_to_L2	concordant_all	46	7127	N13.HOG0005090; N13.HOG0006185
GO:0030856	regulation of epithelial cell differenti...	65	1	0.42	1.00000	1	2.380952380952381	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0008645	hexose transmembrane transport	65	1	0.42	1.00000	1	2.380952380952381	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0006140	regulation of nucleotide metabolic proce...	65	1	0.42	1.00000	1	2.380952380952381	L5_to_L2	concordant_all	46	7127	N13.HOG0006277
GO:0048660	regulation of smooth muscle cell prolife...	65	1	0.42	1.00000	1	2.380952380952381	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0048640	negative regulation of developmental gro...	131	2	0.85	1.00000	1	2.3529411764705883	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0006185
GO:2001233	regulation of apoptotic signaling pathwa...	200	3	1.29	1.00000	1	2.3255813953488373	L5_to_L2	concordant_all	46	7127	N13.HOG0005994; N13.HOG0006185; N13.HOG0009740
GO:0006970	response to osmotic stress	67	1	0.43	1.00000	1	2.3255813953488373	L5_to_L2	concordant_all	46	7127	N13.HOG0006277
GO:0031644	regulation of nervous system process	66	1	0.43	1.00000	1	2.3255813953488373	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0015749	monosaccharide transmembrane transport	66	1	0.43	1.00000	1	2.3255813953488373	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0060538	skeletal muscle organ development	133	2	0.86	1.00000	1	2.3255813953488373	L5_to_L2	concordant_all	46	7127	N13.HOG0005090; N13.HOG0009018
GO:0010324	membrane invagination	67	1	0.43	1.00000	1	2.3255813953488373	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0008203	cholesterol metabolic process	66	1	0.43	1.00000	1	2.3255813953488373	L5_to_L2	concordant_all	46	7127	N13.HOG0000700
GO:0048659	smooth muscle cell proliferation	67	1	0.43	1.00000	1	2.3255813953488373	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0051961	negative regulation of nervous system de...	268	4	1.73	1.00000	1	2.3121387283236996	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0005090; N13.HOG0006185; N13.HOG0009018
GO:0104004	cellular response to environmental stimu...	201	3	1.3	1.00000	1	2.3076923076923075	L5_to_L2	concordant_all	46	7127	N13.HOG0005994; N13.HOG0006185; N13.HOG0006277
GO:0034219	carbohydrate transmembrane transport	68	1	0.44	1.00000	1	2.272727272727273	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0062012	regulation of small molecule metabolic p...	205	3	1.32	1.00000	1	2.2727272727272725	L5_to_L2	concordant_all	46	7127	N13.HOG0000700; N13.HOG0006185; N13.HOG0006277
GO:0007178	cell surface receptor protein serine/thr...	204	3	1.32	1.00000	1	2.2727272727272725	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0006185; N13.HOG0009018
GO:0045787	positive regulation of cell cycle	274	4	1.77	1.00000	1	2.2598870056497176	L5_to_L2	concordant_all	46	7127	N13.HOG0002007; N13.HOG0003957; N13.HOG0005864; N13.HOG0006185
GO:0043010	camera-type eye development	206	3	1.33	1.00000	1	2.255639097744361	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0005090; N13.HOG0009018
GO:0007632	visual behavior	69	1	0.45	1.00000	1	2.2222222222222223	L5_to_L2	concordant_all	46	7127	N13.HOG0003957
GO:0046626	regulation of insulin receptor signaling...	69	1	0.45	1.00000	1	2.2222222222222223	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0042274	ribosomal small subunit biogenesis	70	1	0.45	1.00000	1	2.2222222222222223	L5_to_L2	concordant_all	46	7127	N13.HOG0007677
GO:0040001	establishment of mitotic spindle localiz...	70	1	0.45	1.00000	1	2.2222222222222223	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:1901606	alpha-amino acid catabolic process	69	1	0.45	1.00000	1	2.2222222222222223	L5_to_L2	concordant_all	46	7127	N13.HOG0009822
GO:0007517	muscle organ development	281	4	1.81	1.00000	1	2.2099447513812156	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0005090; N13.HOG0006185; N13.HOG0009018
GO:0032388	positive regulation of intracellular tra...	141	2	0.91	1.00000	1	2.1978021978021975	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0007677
GO:0006611	protein export from nucleus	141	2	0.91	1.00000	1	2.1978021978021975	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0007677
GO:0003013	circulatory system process	213	3	1.37	1.00000	1	2.18978102189781	L5_to_L2	concordant_all	46	7127	N13.HOG0005090; N13.HOG0006185; N13.HOG0008981
GO:0045137	development of primary sexual characteri...	214	3	1.38	1.00000	1	2.173913043478261	L5_to_L2	concordant_all	46	7127	N13.HOG0000655; N13.HOG0005090; N13.HOG0005994
GO:0051054	positive regulation of DNA metabolic pro...	143	2	0.92	1.00000	1	2.1739130434782608	L5_to_L2	concordant_all	46	7127	N13.HOG0005864; N13.HOG0006185
GO:0043244	regulation of protein-containing complex...	72	1	0.46	1.00000	1	2.1739130434782608	L5_to_L2	concordant_all	46	7127	N13.HOG0005377
GO:1903429	regulation of cell maturation	71	1	0.46	1.00000	1	2.1739130434782608	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0010453	regulation of cell fate commitment	71	1	0.46	1.00000	1	2.1739130434782608	L5_to_L2	concordant_all	46	7127	N13.HOG0003957
GO:0005976	polysaccharide metabolic process	72	1	0.46	1.00000	1	2.1739130434782608	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0035265	organ growth	144	2	0.93	1.00000	1	2.150537634408602	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0006185
GO:0051170	import into nucleus	145	2	0.94	1.00000	1	2.127659574468085	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0006185
GO:0072655	establishment of protein localization to...	73	1	0.47	1.00000	1	2.127659574468085	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0001841	neural tube formation	73	1	0.47	1.00000	1	2.127659574468085	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0018205	peptidyl-lysine modification	219	3	1.41	1.00000	1	2.127659574468085	L5_to_L2	concordant_all	46	7127	N13.HOG0002007; N13.HOG0005994; N13.HOG0007319
GO:0001501	skeletal system development	219	3	1.41	1.00000	1	2.127659574468085	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0005090; N13.HOG0009018
GO:0008202	steroid metabolic process	145	2	0.94	1.00000	1	2.127659574468085	L5_to_L2	concordant_all	46	7127	N13.HOG0000700; N13.HOG0002611
GO:0010001	glial cell differentiation	148	2	0.96	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0002007; N13.HOG0009018
GO:0050772	positive regulation of axonogenesis	75	1	0.48	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0035383	thioester metabolic process	75	1	0.48	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0009822
GO:0070585	protein localization to mitochondrion	75	1	0.48	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0010721	negative regulation of cell development	297	4	1.92	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0005090; N13.HOG0006185; N13.HOG0009018
GO:0006637	acyl-CoA metabolic process	75	1	0.48	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0009822
GO:0043523	regulation of neuron apoptotic process	148	2	0.96	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0005090; N13.HOG0006185
GO:0048645	animal organ formation	74	1	0.48	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0003957
GO:0046546	development of primary male sexual chara...	75	1	0.48	1.00000	1	2.0833333333333335	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:0016072	rRNA metabolic process	224	3	1.45	1.00000	1	2.0689655172413794	L5_to_L2	concordant_all	46	7127	N13.HOG0006279; N13.HOG0007677; N13.HOG0009740
GO:0051146	striated muscle cell differentiation	227	3	1.47	1.00000	1	2.0408163265306123	L5_to_L2	concordant_all	46	7127	N13.HOG0005090; N13.HOG0006185; N13.HOG0009018
GO:0048706	embryonic skeletal system development	76	1	0.49	1.00000	1	2.0408163265306123	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:0015718	monocarboxylic acid transport	76	1	0.49	1.00000	1	2.0408163265306123	L5_to_L2	concordant_all	46	7127	N13.HOG0000903
GO:0009308	amine metabolic process	76	1	0.49	1.00000	1	2.0408163265306123	L5_to_L2	concordant_all	46	7127	N13.HOG0008769
GO:0071901	negative regulation of protein serine/th...	76	1	0.49	1.00000	1	2.0408163265306123	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0007623	circadian rhythm	229	3	1.48	1.00000	1	2.027027027027027	L5_to_L2	concordant_all	46	7127	N13.HOG0003976; N13.HOG0006185; N13.HOG0008981
GO:1900076	regulation of cellular response to insul...	78	1	0.5	1.00000	1	2	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0120192	tight junction assembly	78	1	0.5	1.00000	1	2	L5_to_L2	concordant_all	46	7127	N13.HOG0003972
GO:0042542	response to hydrogen peroxide	77	1	0.5	1.00000	1	2	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0008643	carbohydrate transport	78	1	0.5	1.00000	1	2	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0034605	cellular response to heat	78	1	0.5	1.00000	1	2	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0045017	glycerolipid biosynthetic process	155	2	1	1.00000	1	2	L5_to_L2	concordant_all	46	7127	N13.HOG0008454; N13.HOG0008769
GO:0044786	cell cycle DNA replication	78	1	0.5	1.00000	1	2	L5_to_L2	concordant_all	46	7127	N13.HOG0005864
GO:0007006	mitochondrial membrane organization	77	1	0.5	1.00000	1	2	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0016054	organic acid catabolic process	156	2	1.01	1.00000	1	1.9801980198019802	L5_to_L2	concordant_all	46	7127	N13.HOG0007278; N13.HOG0009822
GO:0033157	regulation of intracellular protein tran...	157	2	1.01	1.00000	1	1.9801980198019802	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0007677
GO:0030900	forebrain development	235	3	1.52	1.00000	1	1.9736842105263157	L5_to_L2	concordant_all	46	7127	N13.HOG0005090; N13.HOG0006185; N13.HOG0009018
GO:0120193	tight junction organization	79	1	0.51	1.00000	1	1.9607843137254901	L5_to_L2	concordant_all	46	7127	N13.HOG0003972
GO:0030968	endoplasmic reticulum unfolded protein r...	79	1	0.51	1.00000	1	1.9607843137254901	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0048514	blood vessel morphogenesis	237	3	1.53	1.00000	1	1.9607843137254901	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0005090; N13.HOG0006465
GO:0009063	amino acid catabolic process	79	1	0.51	1.00000	1	1.9607843137254901	L5_to_L2	concordant_all	46	7127	N13.HOG0009822
GO:0007612	learning	160	2	1.03	1.00000	1	1.941747572815534	L5_to_L2	concordant_all	46	7127	N13.HOG0003957; N13.HOG0006185
GO:0021537	telencephalon development	160	2	1.03	1.00000	1	1.941747572815534	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0009018
GO:0051168	nuclear export	161	2	1.04	1.00000	1	1.923076923076923	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0007677
GO:0042551	neuron maturation	81	1	0.52	1.00000	1	1.923076923076923	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0051293	establishment of spindle localization	81	1	0.52	1.00000	1	1.923076923076923	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0008277	regulation of G protein-coupled receptor...	80	1	0.52	1.00000	1	1.923076923076923	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0006650	glycerophospholipid metabolic process	161	2	1.04	1.00000	1	1.923076923076923	L5_to_L2	concordant_all	46	7127	N13.HOG0008454; N13.HOG0008769
GO:1902904	negative regulation of supramolecular fi...	80	1	0.52	1.00000	1	1.923076923076923	L5_to_L2	concordant_all	46	7127	N13.HOG0005377
GO:0001649	osteoblast differentiation	80	1	0.52	1.00000	1	1.923076923076923	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0051402	neuron apoptotic process	162	2	1.05	1.00000	1	1.9047619047619047	L5_to_L2	concordant_all	46	7127	N13.HOG0005090; N13.HOG0006185
GO:0042303	molting cycle	164	2	1.06	1.00000	1	1.8867924528301885	L5_to_L2	concordant_all	46	7127	N13.HOG0000655; N13.HOG0006185
GO:0018107	peptidyl-threonine phosphorylation	82	1	0.53	1.00000	1	1.8867924528301885	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0010876	lipid localization	248	3	1.6	1.00000	1	1.875	L5_to_L2	concordant_all	46	7127	N13.HOG0000700; N13.HOG0000903; N13.HOG0001642
GO:0030718	germ-line stem cell population maintenan...	83	1	0.54	1.00000	1	1.8518518518518516	L5_to_L2	concordant_all	46	7127	N13.HOG0009740
GO:0008654	phospholipid biosynthetic process	168	2	1.08	1.00000	1	1.8518518518518516	L5_to_L2	concordant_all	46	7127	N13.HOG0008454; N13.HOG0008769
GO:1901655	cellular response to ketone	83	1	0.54	1.00000	1	1.8518518518518516	L5_to_L2	concordant_all	46	7127	N13.HOG0009822
GO:0007160	cell-matrix adhesion	83	1	0.54	1.00000	1	1.8518518518518516	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0030278	regulation of ossification	83	1	0.54	1.00000	1	1.8518518518518516	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0051653	spindle localization	85	1	0.55	1.00000	1	1.8181818181818181	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0016125	sterol metabolic process	85	1	0.55	1.00000	1	1.8181818181818181	L5_to_L2	concordant_all	46	7127	N13.HOG0000700
GO:0042048	olfactory behavior	85	1	0.55	1.00000	1	1.8181818181818181	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0033865	nucleoside bisphosphate metabolic proces...	85	1	0.55	1.00000	1	1.8181818181818181	L5_to_L2	concordant_all	46	7127	N13.HOG0009822
GO:0035050	embryonic heart tube development	85	1	0.55	1.00000	1	1.8181818181818181	L5_to_L2	concordant_all	46	7127	N13.HOG0005090
GO:0003007	heart morphogenesis	172	2	1.11	1.00000	1	1.8018018018018016	L5_to_L2	concordant_all	46	7127	N13.HOG0005090; N13.HOG0006185
GO:0050803	regulation of synapse structure or activ...	261	3	1.68	1.00000	1	1.7857142857142858	L5_to_L2	concordant_all	46	7127	N13.HOG0000384; N13.HOG0006185; N13.HOG0010580
GO:0018210	peptidyl-threonine modification	87	1	0.56	1.00000	1	1.7857142857142856	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0045834	positive regulation of lipid metabolic p...	86	1	0.56	1.00000	1	1.7857142857142856	L5_to_L2	concordant_all	46	7127	N13.HOG0000700
GO:0006937	regulation of muscle contraction	87	1	0.56	1.00000	1	1.7857142857142856	L5_to_L2	concordant_all	46	7127	N13.HOG0006465
GO:0022416	chaeta development	86	1	0.56	1.00000	1	1.7857142857142856	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0097306	cellular response to alcohol	86	1	0.56	1.00000	1	1.7857142857142856	L5_to_L2	concordant_all	46	7127	N13.HOG0009822
GO:0010921	regulation of phosphatase activity	86	1	0.56	1.00000	1	1.7857142857142856	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0097191	extrinsic apoptotic signaling pathway	87	1	0.56	1.00000	1	1.7857142857142856	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:1902652	secondary alcohol metabolic process	86	1	0.56	1.00000	1	1.7857142857142856	L5_to_L2	concordant_all	46	7127	N13.HOG0000700
GO:1901875	positive regulation of post-translationa...	88	1	0.57	1.00000	1	1.7543859649122808	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:1901989	positive regulation of cell cycle phase ...	89	1	0.57	1.00000	1	1.7543859649122808	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0001838	embryonic epithelial tube formation	88	1	0.57	1.00000	1	1.7543859649122808	L5_to_L2	concordant_all	46	7127	N13.HOG0009018
GO:0061572	actin filament bundle organization	88	1	0.57	1.00000	1	1.7543859649122808	L5_to_L2	concordant_all	46	7127	N13.HOG0005377
GO:1903322	positive regulation of protein modificat...	88	1	0.57	1.00000	1	1.7543859649122808	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0043297	apical junction assembly	88	1	0.57	1.00000	1	1.7543859649122808	L5_to_L2	concordant_all	46	7127	N13.HOG0003972
GO:0046942	carboxylic acid transport	178	2	1.15	1.00000	1	1.7391304347826089	L5_to_L2	concordant_all	46	7127	N13.HOG0000903; N13.HOG0006277
GO:1901990	regulation of mitotic cell cycle phase t...	270	3	1.74	1.00000	1	1.7241379310344829	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0007319; N13.HOG0007677
GO:0051222	positive regulation of protein transport	179	2	1.16	1.00000	1	1.7241379310344829	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0007677
GO:0034614	cellular response to reactive oxygen spe...	90	1	0.58	1.00000	1	1.7241379310344829	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0006575	modified amino acid metabolic process	90	1	0.58	1.00000	1	1.7241379310344829	L5_to_L2	concordant_all	46	7127	N13.HOG0007278
GO:0051783	regulation of nuclear division	180	2	1.16	1.00000	1	1.7241379310344829	L5_to_L2	concordant_all	46	7127	N13.HOG0006185; N13.HOG0007677
GO:0032006	regulation of TOR signaling	90	1	0.58	1.00000	1	1.7241379310344829	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:0015849	organic acid transport	179	2	1.16	1.00000	1	1.7241379310344829	L5_to_L2	concordant_all	46	7127	N13.HOG0000903; N13.HOG0006277
GO:0010810	regulation of cell-substrate adhesion	90	1	0.58	1.00000	1	1.7241379310344829	L5_to_L2	concordant_all	46	7127	N13.HOG0006185
GO:1902680	positive regulation of RNA biosynthetic ...	810	9	5.23	1.00000	1	1.7208413001912044	L5_to_L2	concordant_all	46	7127	N13.HOG0002007; N13.HOG0003957; N13.HOG0005090; N13.HOG0006185; N13.HOG0006279; N13.HOG0006646; N13.HOG0007319; N13.HOG0009018; N13.HOG0009740
