GO.ID	Term	ontology	HOG	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment
GO:0019538	protein metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	5	3.22108660570199	1.55227120908484
GO:0019538	protein metabolic process	BP	N0.HOG0000108	8	0.000943866	1	1	5	3.22108660570199	1.55227120908484
GO:0019538	protein metabolic process	BP	N0.HOG0000155	2	0.00304223	1	1	5	3.22108660570199	1.55227120908484
GO:0019538	protein metabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	5	3.22108660570199	1.55227120908484
GO:0019538	protein metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	5	3.22108660570199	1.55227120908484
GO:0019637	organophosphate metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.802582033351264	1.24597855227882
GO:0019693	ribose phosphate metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.413125336202259	2.42057291666667
GO:0019730	antimicrobial humoral response	BP	N0.HOG0000108	8	0.000943866	1	1	1	0.117267348036579	8.52752293577982
GO:0019731	antibacterial humoral response	BP	N0.HOG0000108	8	0.000943866	1	1	1	0.0398063474986552	25.1216216216216
GO:0019752	carboxylic acid metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	3	0.616460462614309	4.86649214659686
GO:0019752	carboxylic acid metabolic process	BP	N0.HOG0000162	2	0.00695568	1	1	3	0.616460462614309	4.86649214659686
GO:0019752	carboxylic acid metabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	3	0.616460462614309	4.86649214659686
