species	term	gene
pd	map01100	LOC107064161
pd	map04714	LOC107064161
pd	map04723	LOC107064161
pd	map04932	LOC107064161
pd	map05010	LOC107064161
pd	map05012	LOC107064161
pd	map05016	LOC107064161
pd	map04138	LOC107064162
pd	map00230	LOC107064163
pd	map00240	LOC107064163
pd	map03020	LOC107064163
pd	map04623	LOC107064163
pd	map05169	LOC107064163
pd	map04150	LOC107064164
pd	map04144	LOC107064165
pd	map03030	LOC107064166
pd	map03420	LOC107064166
pd	map03430	LOC107064166
pd	map03440	LOC107064166
pd	map03460	LOC107064166
pd	map04350	LOC107064167
pd	map05231	LOC107064168
pd	map00190	LOC107064169
pd	map01100	LOC107064169
pd	map04714	LOC107064169
pd	map04723	LOC107064169
pd	map04932	LOC107064169
pd	map05010	LOC107064169
pd	map05012	LOC107064169
pd	map05016	LOC107064169
pd	map05165	LOC107064169
pd	map05200	LOC107064169
pd	map05224	LOC107064169
pd	map00650	LOC107064171
pd	map00100	LOC107064173
pd	map01100	LOC107064173
pd	map01130	LOC107064173
pd	map04024	LOC107064175
pd	map04080	LOC107064175
pd	map04918	LOC107064175
pd	map04923	LOC107064175
pd	map05320	LOC107064175
pd	map00010	LOC107064176
pd	map00020	LOC107064176
pd	map00620	LOC107064176
pd	map01100	LOC107064176
pd	map01110	LOC107064176
pd	map01120	LOC107064176
pd	map01130	LOC107064176
pd	map01200	LOC107064176
pd	map03010	LOC107064177
pd	map00860	LOC107064178
pd	map01100	LOC107064178
pd	map01110	LOC107064178
pd	map04066	LOC107064178
pd	map04216	LOC107064178
pd	map04978	LOC107064178
pd	map05200	LOC107064178
pd	map05206	LOC107064178
pd	map05225	LOC107064178
pd	map05418	LOC107064178
pd	map03018	LOC107064179
pd	map03320	LOC107064181
pd	map04923	LOC107064181
pd	map04975	LOC107064181
pd	map00230	LOC107064182
pd	map04022	LOC107064182
pd	map04024	LOC107064182
pd	map04270	LOC107064182
pd	map04714	LOC107064182
pd	map04921	LOC107064182
pd	map04923	LOC107064182
pd	map04924	LOC107064182
pd	map04925	LOC107064182
pd	map03013	LOC107064183
pd	map00908	LOC107064185
pd	map01100	LOC107064185
pd	map01110	LOC107064185
pd	map04150	LOC107064186
pd	map04216	LOC107064186
pd	map04974	LOC107064186
pd	map00052	LOC107064187
pd	map00500	LOC107064187
pd	map01100	LOC107064187
pd	map04974	LOC107064187
pd	map03008	LOC107064189
