term	gene
map04512	N13.HOG0001627
map04974	N13.HOG0001627
map05165	N13.HOG0001627
map04974	N13.HOG0001628
map04110	N13.HOG0001630
map04111	N13.HOG0001630
map04113	N13.HOG0001630
map04114	N13.HOG0001630
map04151	N13.HOG0001630
map04510	N13.HOG0001630
map04512	N13.HOG0001630
map04974	N13.HOG0001630
map05165	N13.HOG0001630
map05034	N13.HOG0001633
map05202	N13.HOG0001633
map05203	N13.HOG0001633
map05322	N13.HOG0001633
map03320	N13.HOG0001640
map03320	N13.HOG0001642
map03320	N13.HOG0001643
map03320	N13.HOG0001644
map04142	N13.HOG0001645
map04142	N13.HOG0001649
map04142	N13.HOG0001650
map00250	N13.HOG0001651
map00410	N13.HOG0001651
map00430	N13.HOG0001651
map00650	N13.HOG0001651
map00770	N13.HOG0001651
map01100	N13.HOG0001651
map01110	N13.HOG0001651
map01120	N13.HOG0001651
map02024	N13.HOG0001651
map04727	N13.HOG0001651
map04940	N13.HOG0001651
map00250	N13.HOG0001652
map00410	N13.HOG0001652
map00430	N13.HOG0001652
map00650	N13.HOG0001652
map00770	N13.HOG0001652
map01100	N13.HOG0001652
map01110	N13.HOG0001652
map01120	N13.HOG0001652
map02024	N13.HOG0001652
map04727	N13.HOG0001652
map04940	N13.HOG0001652
map00250	N13.HOG0001653
map00410	N13.HOG0001653
map00430	N13.HOG0001653
map00650	N13.HOG0001653
map00770	N13.HOG0001653
map01100	N13.HOG0001653
map01110	N13.HOG0001653
map01120	N13.HOG0001653
map02024	N13.HOG0001653
map04727	N13.HOG0001653
map04940	N13.HOG0001653
map00250	N13.HOG0001654
map00410	N13.HOG0001654
map00430	N13.HOG0001654
map00650	N13.HOG0001654
map01100	N13.HOG0001654
map01110	N13.HOG0001654
map01120	N13.HOG0001654
map02024	N13.HOG0001654
map04727	N13.HOG0001654
map04940	N13.HOG0001654
map04624	N13.HOG0001658
map05146	N13.HOG0001658
map05146	N13.HOG0001659
map00564	N13.HOG0001665
map04725	N13.HOG0001665
map00983	N13.HOG0001666
map00564	N13.HOG0001668
map00565	N13.HOG0001668
map00590	N13.HOG0001668
map00591	N13.HOG0001668
map00592	N13.HOG0001668
map01100	N13.HOG0001668
map01110	N13.HOG0001668
map04977	N13.HOG0001668
map03008	N13.HOG0001679
map03013	N13.HOG0001679
map03015	N13.HOG0001679
map05164	N13.HOG0001679
map05168	N13.HOG0001679
map03008	N13.HOG0001682
map03013	N13.HOG0001682
map03015	N13.HOG0001682
map05164	N13.HOG0001682
map05168	N13.HOG0001682
map04080	N13.HOG0001688
map04926	N13.HOG0001688
map04145	N13.HOG0001693
map04151	N13.HOG0001693
map04510	N13.HOG0001693
map04512	N13.HOG0001693
map04514	N13.HOG0001693
map04640	N13.HOG0001693
map04670	N13.HOG0001693
map04672	N13.HOG0001693
map04810	N13.HOG0001693
map04919	N13.HOG0001693
map05100	N13.HOG0001693
map05131	N13.HOG0001693
map05133	N13.HOG0001693
map05140	N13.HOG0001693
map05165	N13.HOG0001693
map05200	N13.HOG0001693
map05205	N13.HOG0001693
map05206	N13.HOG0001693
map05222	N13.HOG0001693
map05410	N13.HOG0001693
map05412	N13.HOG0001693
map05414	N13.HOG0001693
map05418	N13.HOG0001693
map05231	N13.HOG0001698
map04020	N13.HOG0001705
map04022	N13.HOG0001705
map04024	N13.HOG0001705
map04080	N13.HOG0001705
map04261	N13.HOG0001705
map04540	N13.HOG0001705
map04726	N13.HOG0001705
map04728	N13.HOG0001705
map04923	N13.HOG0001705
map04924	N13.HOG0001705
map04970	N13.HOG0001705
map05012	N13.HOG0001705
map05030	N13.HOG0001705
map05031	N13.HOG0001705
map05032	N13.HOG0001705
map05034	N13.HOG0001705
map04020	N13.HOG0001708
map04022	N13.HOG0001708
map04024	N13.HOG0001708
map04080	N13.HOG0001708
map04261	N13.HOG0001708
map04540	N13.HOG0001708
map04726	N13.HOG0001708
map04728	N13.HOG0001708
map04923	N13.HOG0001708
map04924	N13.HOG0001708
map04970	N13.HOG0001708
map05012	N13.HOG0001708
map05030	N13.HOG0001708
map05031	N13.HOG0001708
map05032	N13.HOG0001708
map05034	N13.HOG0001708
map00140	N13.HOG0001709
map00140	N13.HOG0001710
map00140	N13.HOG0001711
map00140	N13.HOG0001712
map00730	N13.HOG0001727
map00790	N13.HOG0001727
map01100	N13.HOG0001727
map02020	N13.HOG0001727
map00730	N13.HOG0001731
map00790	N13.HOG0001731
map01100	N13.HOG0001731
map02020	N13.HOG0001731
map04080	N13.HOG0001732
map04972	N13.HOG0001732
map04974	N13.HOG0001732
map05164	N13.HOG0001732
map05231	N13.HOG0001737
map05231	N13.HOG0001738
map00010	N13.HOG0001739
map00270	N13.HOG0001739
map00620	N13.HOG0001739
map00640	N13.HOG0001739
map01100	N13.HOG0001739
map01110	N13.HOG0001739
map01120	N13.HOG0001739
map01130	N13.HOG0001739
map04922	N13.HOG0001739
map00010	N13.HOG0001740
map00270	N13.HOG0001740
map00620	N13.HOG0001740
map00640	N13.HOG0001740
map01100	N13.HOG0001740
map01110	N13.HOG0001740
map01120	N13.HOG0001740
map01130	N13.HOG0001740
map04922	N13.HOG0001740
map00010	N13.HOG0001741
map00270	N13.HOG0001741
map00620	N13.HOG0001741
map00640	N13.HOG0001741
map01100	N13.HOG0001741
map01110	N13.HOG0001741
map01120	N13.HOG0001741
map01130	N13.HOG0001741
map04922	N13.HOG0001741
map00010	N13.HOG0001742
map00270	N13.HOG0001742
map00620	N13.HOG0001742
map00640	N13.HOG0001742
map01100	N13.HOG0001742
map01110	N13.HOG0001742
map01120	N13.HOG0001742
map01130	N13.HOG0001742
map04922	N13.HOG0001742
map00010	N13.HOG0001743
map00040	N13.HOG0001743
map00051	N13.HOG0001743
map00052	N13.HOG0001743
map00561	N13.HOG0001743
map00790	N13.HOG0001743
map00930	N13.HOG0001743
map01100	N13.HOG0001743
map01110	N13.HOG0001743
map01120	N13.HOG0001743
map01130	N13.HOG0001743
map01220	N13.HOG0001743
map00010	N13.HOG0001745
map00040	N13.HOG0001745
map00051	N13.HOG0001745
map00052	N13.HOG0001745
map00561	N13.HOG0001745
map00790	N13.HOG0001745
map00930	N13.HOG0001745
map01100	N13.HOG0001745
map01110	N13.HOG0001745
map01120	N13.HOG0001745
map01130	N13.HOG0001745
map01220	N13.HOG0001745
map04550	N13.HOG0001749
map04950	N13.HOG0001749
map04550	N13.HOG0001751
map04950	N13.HOG0001751
map04610	N13.HOG0001756
map04624	N13.HOG0001756
map05150	N13.HOG0001756
map04013	N13.HOG0001762
map04310	N13.HOG0001762
map04330	N13.HOG0001762
map04013	N13.HOG0001763
map04310	N13.HOG0001763
map04330	N13.HOG0001763
map04013	N13.HOG0001764
map04310	N13.HOG0001764
map04330	N13.HOG0001764
map04142	N13.HOG0001767
map04979	N13.HOG0001767
map04142	N13.HOG0001768
map04979	N13.HOG0001768
map04142	N13.HOG0001769
