XM_015318382.1	LOC107065050	LOC107065050
XM_015318396.1	LOC107065050	LOC107065050
XM_015318390.1	LOC107065050	LOC107065050
XM_015318404.1	LOC107065050	LOC107065050
XM_015318412.1	LOC107065050	LOC107065050
XM_015318422.1	LOC107065050	LOC107065050
XM_015318365.1	LOC107065050	LOC107065050
XM_015316340.1	LOC107064068	LOC107064068
XM_015316353.1	LOC107064075	LOC107064075
XM_015316362.1	LOC107064075	LOC107064075
XM_015316372.1	LOC107064075	LOC107064075
XM_015316654.1	LOC107064201	LOC107064201
XM_015319172.1	LOC107065449	LOC107065449
XM_015319154.1	LOC107065449	LOC107065449
XM_015319163.1	LOC107065449	LOC107065449
XM_015326499.1	LOC107069159	LOC107069159
XM_015326905.1	LOC107069159	LOC107069159
XM_015326658.1	LOC107069159	LOC107069159
XM_015326581.1	LOC107069159	LOC107069159
XM_015326411.1	LOC107069159	LOC107069159
XM_015326317.1	LOC107069159	LOC107069159
XM_015326243.1	LOC107069159	LOC107069159
XM_015326737.1	LOC107069159	LOC107069159
XM_015326816.1	LOC107069159	LOC107069159
XM_015326988.1	LOC107069159	LOC107069159
XR_001476146.1	LOC107069605	LOC107069605
XM_015327555.1	LOC107069818	LOC107069818
XM_015327469.1	LOC107069818	LOC107069818
XM_015327178.1	LOC107069649	LOC107069649
XM_015327349.1	LOC107069649	LOC107069649
XM_015327261.1	LOC107069649	LOC107069649
XM_015318624.1	LOC107065170	LOC107065170
XM_015318616.1	LOC107065170	LOC107065170
Trnaq-cug	Trnaq-cug	Trnaq-cug
XM_015333611.1	LOC107073109	LOC107073109
XM_015333329.1	LOC107072948	LOC107072948
XM_015333490.1	LOC107072948	LOC107072948
XM_015333408.1	LOC107072948	LOC107072948
XR_001476697.1	LOC107073176	LOC107073176
XM_015334549.1	LOC107073803	LOC107073803
XM_015334512.1	LOC107073803	LOC107073803
XM_015334520.1	LOC107073803	LOC107073803
XM_015334539.1	LOC107073803	LOC107073803
XM_015334530.1	LOC107073803	LOC107073803
XM_015334364.1	LOC107073655	LOC107073655
XM_015334140.1	LOC107073220	LOC107073220
XM_015333880.1	LOC107073220	LOC107073220
XM_015333945.1	LOC107073220	LOC107073220
XM_015334013.1	LOC107073220	LOC107073220
XM_015333804.1	LOC107073220	LOC107073220
XM_015334073.1	LOC107073220	LOC107073220
XM_015334204.1	LOC107073220	LOC107073220
XM_015334254.1	LOC107073220	LOC107073220
XM_015334300.1	LOC107073220	LOC107073220
XM_015334437.1	LOC107073721	LOC107073721
XM_015334488.1	LOC107073721	LOC107073721
XM_015317907.1	LOC107064825	LOC107064825
XM_015317914.1	LOC107064825	LOC107064825
XM_015317925.1	LOC107064841	LOC107064841
XM_015319094.1	LOC107065410	LOC107065410
XM_015319075.1	LOC107065410	LOC107065410
XM_015319085.1	LOC107065410	LOC107065410
XM_015319103.1	LOC107065410	LOC107065410
XM_015319185.1	LOC107065463	LOC107065463
XM_015318520.1	LOC107064907	LOC107064907
XM_015319012.1	LOC107065373	LOC107065373
XM_015319003.1	LOC107065373	LOC107065373
XR_001475600.1	LOC107065381	LOC107065381
XM_015319036.1	LOC107065385	LOC107065385
XM_015336045.1	LOC107074525	LOC107074525
XM_015336063.1	LOC107074525	LOC107074525
XM_015336059.1	LOC107074525	LOC107074525
XM_015336071.1	LOC107074525	LOC107074525
XM_015336051.1	LOC107074525	LOC107074525
XM_015336084.1	LOC107074556	LOC107074556
XM_015318269.1	LOC107065005	LOC107065005
XM_015318278.1	LOC107065005	LOC107065005
XM_015318286.1	LOC107065005	LOC107065005
XM_015318299.1	LOC107065023	LOC107065023
XM_015335524.1	LOC107074269	LOC107074269
XM_015335536.1	LOC107074276	LOC107074276
XM_015335549.1	LOC107074283	LOC107074283
XM_015315837.1	LOC107063760	LOC107063760
XM_015315846.1	LOC107063760	LOC107063760
XM_015315880.1	LOC107063787	LOC107063787
XM_015315869.1	LOC107063777	LOC107063777
XM_015315857.1	LOC107063771	LOC107063771
XR_001475415.1	LOC107063797	LOC107063797
XM_015315909.1	LOC107063802	LOC107063802
XM_015315900.1	LOC107063802	LOC107063802
XM_015316720.1	LOC107064270	LOC107064270
XM_015319790.1	LOC107065554	LOC107065554
XM_015316734.1	LOC107064275	LOC107064275
XM_015318572.1	LOC107065146	LOC107065146
XM_015315923.1	LOC107063811	LOC107063811
XM_015315944.1	LOC107063818	LOC107063818
XM_015315936.1	LOC107063818	LOC107063818
XM_015315952.1	LOC107063818	LOC107063818
