Node	HOG	change	pvalue	direction	significant
27	N0.HOG0000050	4	0.101086	expansion	FALSE
27	N0.HOG0000105	2	0.112935	expansion	FALSE
27	N0.HOG0000001	-1	0.135862	contraction	FALSE
27	N0.HOG0000002	-1	0.135862	contraction	FALSE
27	N0.HOG0000307	-1	0.135862	contraction	FALSE
27	N0.HOG0000108	3	0.175866	expansion	FALSE
27	N0.HOG0000004	-3	0.222684	contraction	FALSE
27	N0.HOG0000003	-2	0.28671	contraction	FALSE
27	N0.HOG0000032	-1	0.321812	contraction	FALSE
27	N0.HOG0000158	-2	0.420745	contraction	FALSE
27	N0.HOG0000101	-1	0.515682	contraction	FALSE
27	N0.HOG0000022	-1	0.59162	contraction	FALSE
27	N0.HOG0000060	-1	0.610322	contraction	FALSE
28	N0.HOG0000009	1	0.10936	expansion	FALSE
28	N0.HOG0000032	1	0.248431	expansion	FALSE
28	N0.HOG0000060	1	0.303703	expansion	FALSE
28	N0.HOG0000050	1	0.46352	expansion	FALSE
29	N0.HOG0000129	-1		contraction	FALSE
29	N0.HOG0000291	-1		contraction	FALSE
29	N0.HOG0000009	22	3.32516e-14	expansion	TRUE
29	N0.HOG0000038	13	1.27691e-08	expansion	TRUE
29	N0.HOG0000158	17	9.47517e-07	expansion	TRUE
29	N0.HOG0000032	10	0.000151027	expansion	TRUE
29	N0.HOG0000105	9	0.000229222	expansion	TRUE
29	N0.HOG0000096	5	0.000880443	expansion	TRUE
29	N0.HOG0000128	-4	0.00117212	contraction	TRUE
29	N0.HOG0000041	4	0.00164536	expansion	TRUE
29	N0.HOG0000101	7	0.00227611	expansion	TRUE
29	N0.HOG0000017	-4	0.00303641	contraction	TRUE
29	N0.HOG0000050	10	0.0045812	expansion	TRUE
29	N0.HOG0000022	-5	0.00944085	contraction	TRUE
29	N0.HOG0000003	5	0.0436319	expansion	TRUE
29	N0.HOG0000060	4	0.0816621	expansion	FALSE
29	N0.HOG0000002	-1	0.230505	contraction	FALSE
29	N0.HOG0000056	2	0.238777	expansion	FALSE
29	N0.HOG0000004	-3	0.361012	contraction	FALSE
